config,correctness_mean,correctness_std,faithfulness_mean,faithfulness_std,completeness_mean,completeness_std,conciseness_mean,conciseness_std,overall_mean,overall_std
adaptive_baseline,0.115,0.2581,0.18,0.3665,0.025,0.0786,0.86,0.2981,0.04,0.0995
adaptive_both,0.345,0.4513,0.36,0.4838,0.08,0.1795,0.675,0.3307,0.105,0.2305
adaptive_enrichment_only,0.315,0.4332,0.395,0.4751,0.045,0.1468,0.72,0.3122,0.05,0.1395
adaptive_reranking_only,0.185,0.3646,0.315,0.4626,0.03,0.0923,0.805,0.312,0.035,0.0813
,,,,,,,,,,
