strategy,avg_score_mean,avg_score_std,avg_score_min,avg_score_max,max_score_mean,max_score_std,namespace_correct_mean,num_results_mean,unique_docs_mean,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,config_name
adaptive,0.5156,0.1307,0.2517,0.7107,0.5422,0.1194,1.0,5.0,3.65,0.06,0.1603,0.1,0.2671,0.06,0.1603,medium_chunks
baseline,0.1865,0.1131,0.0232,0.4524,0.2429,0.1262,0.9,3.7,3.6,0.0,0.0,0.0,0.0,0.0,0.0,medium_chunks
sentence,0.3792,0.1155,0.2066,0.6,0.4272,0.1259,1.0,5.0,4.4,0.06,0.1465,0.1,0.2442,0.06,0.1465,medium_chunks
adaptive,0.5166,0.1284,0.2517,0.6812,0.5443,0.1179,1.0,5.0,3.5,0.08,0.1765,0.1333,0.2942,0.08,0.1765,small_chunks
baseline,0.2796,0.1324,0.0759,0.5081,0.3296,0.1409,1.0,4.9,4.25,0.01,0.0447,0.0167,0.0745,0.01,0.0447,small_chunks
sentence,0.4177,0.1207,0.2141,0.6338,0.4456,0.1215,1.0,5.0,3.9,0.05,0.2236,0.0833,0.3727,0.05,0.2236,small_chunks
adaptive,0.5156,0.1307,0.2517,0.7107,0.5422,0.1194,1.0,5.0,3.65,0.06,0.1603,0.1,0.2671,0.06,0.1603,small_overlap
baseline,0.1865,0.1131,0.0232,0.4524,0.2429,0.1262,0.9,3.7,3.6,0.0,0.0,0.0,0.0,0.0,0.0,small_overlap
sentence,0.3792,0.1155,0.2066,0.6,0.4272,0.1259,1.0,5.0,4.4,0.06,0.1465,0.1,0.2442,0.06,0.1465,small_overlap
