strategy,avg_score_mean,avg_score_std,avg_score_min,avg_score_max,max_score_mean,max_score_std,namespace_correct_mean,num_results_mean,unique_docs_mean,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
adaptive,0.5166,0.1284,0.2517,0.6812,0.5443,0.1179,1.0,5.0,3.5,0.08,0.1765,0.1333,0.2942,0.08,0.1765
baseline,0.2796,0.1324,0.0759,0.5081,0.3296,0.1409,1.0,4.9,4.25,0.01,0.0447,0.0167,0.0745,0.01,0.0447
sentence,0.4177,0.1207,0.2141,0.6338,0.4456,0.1215,1.0,5.0,3.9,0.05,0.2236,0.0833,0.3727,0.05,0.2236
